source_id,firm,plans,title,official_url,retrieved_at_utc,effective_from,sha256,local_archive_file,archive_status,rule_use_status
LUCID-001,Lucid Trading,LucidFlex 25K,LucidFlex Evaluation Account,https://support.lucidtrading.com/en/articles/12945790-lucidflex-evaluation-account,2026-09-15T09:37:52Z,unknown,84a354fe7cf982eb91a8156d2a4101b308a9b6cc470e543696ffb494b47dadbc,lucidflex-evaluation.html,archived,usable_with_effective_date_blocker
LUCID-002,Lucid Trading,LucidFlex 25K,LucidFlex Funded Account,https://support.lucidtrading.com/en/articles/12945795-lucidflex-funded-account,2026-09-15T09:37:52Z,unknown,78ac3981658bacac88a8d4b98dd58143f6e9b421d5350741692c9df28f2bbf83,lucidflex-funded.html,archived,usable_with_effective_date_blocker
LUCID-003,Lucid Trading,LucidFlex 25K,LucidFlex Drawdown,https://support.lucidtrading.com/en/articles/12945815-lucidflex-drawdown,2026-09-15T09:37:52Z,unknown,c3f7094c2e7f446a8cbfc53c0a253a13093c461571c93e1c2d4e479f67983685,lucidflex-drawdown.html,archived,usable_with_effective_date_blocker
LUCID-004,Lucid Trading,LucidFlex 25K,LucidFlex Payouts,https://support.lucidtrading.com/en/articles/12945796-lucidflex-payouts,2026-09-15T09:37:52Z,unknown,a8a8d8e71cd7880cd3131b99963fc6ce4b7e5f82f3b1ba6f6d2615c75fdf1b32,lucidflex-payouts.html,archived,usable_with_effective_date_blocker
LUCID-005,Lucid Trading,LucidFlex 25K,LucidFlex Customization,https://support.lucidtrading.com/en/articles/16226050-lucidflex-customization,2026-09-15T09:37:52Z,unknown,fbda4da0ca674c757e22a782f55ef492cce9b8e0b56e6477897faf237e72e9ad,lucidflex-customization.html,archived,usable_with_dll_value_blocker
LUCID-006,Lucid Trading,LucidDaily 25K,LucidDaily Evaluation,https://support.lucidtrading.com/en/articles/15996664-luciddaily-evaluation,2026-09-15T09:37:52Z,unknown,0f8aefd6ecadfc58233504ef765e1102be1adabf3840519df7f959c3b4872ac8,luciddaily-evaluation.html,archived,usable_with_effective_date_blocker
LUCID-007,Lucid Trading,LucidDaily 25K,LucidDaily Funded Account,https://support.lucidtrading.com/en/articles/15997244-luciddaily-funded-account,2026-09-15T09:37:52Z,unknown,af8e8ea002bbcfc89c232268bb8f0082fc60e179ce829072e3cbbccfbd0b2078,luciddaily-funded.html,archived,usable_with_effective_date_blocker
LUCID-008,Lucid Trading,LucidDaily 25K,LucidDaily Drawdown,https://support.lucidtrading.com/en/articles/15998425-luciddaily-drawdown,2026-09-15T09:37:52Z,unknown,7a04ea5e8e2dfd09d7c93475cdc902d7bb68de77945e0c5a82d2c2d38b738599,luciddaily-drawdown.html,archived,usable_with_effective_date_blocker
LUCID-009,Lucid Trading,LucidDaily 25K,LucidDaily Daily Loss Limit,https://support.lucidtrading.com/en/articles/16085900-luciddaily-daily-loss-limit,2026-09-15T09:37:52Z,unknown,4fca66a0a87fc0b872ec96fb8bebb0485635704767fcf005f2adec61d8a3e55a,luciddaily-dll.html,archived,usable_with_effective_date_blocker
LUCID-010,Lucid Trading,LucidDaily 25K,LucidDaily Customization,https://support.lucidtrading.com/en/articles/16033858-luciddaily-customization,2026-09-15T09:37:52Z,unknown,0f988d50da21d9fb04bcee6dd14bf888a8a159dcc139f6db19aa683d7dbfd993,luciddaily-customization.html,archived,usable_with_effective_date_blocker
